market_date,mean_sentiment,tweet_count
2020-01-01,0.012484073638916,1
2020-01-02,-0.13836922384798525,17
2020-01-03,-0.026663258050878852,16
2020-01-04,-0.1475527741325398,31
2020-01-05,-0.4877306694785754,3
2020-02-01,-0.0021168032418126,23
2020-02-02,-0.39636255490283173,13
2020-02-03,0.06169297118183405,23
2020-02-04,-0.33022521049665504,34
2020-02-05,-0.0759239526731627,7
2020-03-01,-0.0538014104016698,26
2020-03-02,-0.1027138703287794,31
2020-03-03,-0.41796839982271194,36
2020-03-04,0.07231622616139549,27
2020-03-05,0.0559524819254875,1
2020-04-01,-0.0690646381117403,8
2020-04-02,-0.03401567179354884,45
2020-04-03,-0.1033106712705415,24
2020-04-04,-0.037972287988911,21
2020-04-05,-0.072749525308609,1
2020-05-01,-0.11709023813347214,52
2020-05-02,-0.06484871643284956,40
2020-05-03,-0.18571596003636925,42
2020-05-04,-0.3816562536216917,45
2020-05-05,-0.22082887931416426,28
2020-05-06,-0.156487856603538,24
2020-05-07,-0.0874907051158302,34
2020-05-08,0.0353384665636853,22
2020-05-09,-0.2574599790184394,23
2020-05-10,-0.2393673387440768,11
2020-05-11,-0.3216111056506633,35
2020-05-12,-0.1179881745151111,21
2020-05-13,-0.2189174990423701,11
2020-05-14,-0.1133911432180967,36
2020-05-15,-0.0794146226620987,19
2020-05-16,-0.0440495708691222,14
2020-05-17,-0.2558535442042809,13
2020-05-18,-0.2792693911628289,22
2020-05-19,-0.2678122800939223,17
2020-05-20,-0.352618684095365,27
2020-05-21,-0.0945284007566756,29
2020-05-22,-0.5087991557084024,16
2020-05-23,-0.1630037210416048,16
2020-05-24,-0.179417321148018,12
2020-05-25,-0.257964888587594,12
2020-05-26,-0.2624265335757157,29
2020-05-27,-0.2484867290148268,23
2020-05-28,-0.2581180165888685,33
2020-05-29,-0.137633302869896,18
2020-05-30,-0.1401634022201362,19
2020-05-31,-0.202809197937741,17
2020-06-01,-0.17762736698576043,55
2020-06-02,-0.329468053074885,83
2020-06-03,-0.2522613588928968,50
2020-06-04,-0.3228667725046512,68
2020-06-05,-0.4488925001456995,47
2020-06-06,-0.2019954731589869,19
2020-06-07,-0.0671390176285058,16
2020-06-08,-0.2900926497732771,29
2020-06-09,-0.1263422589039518,21
2020-06-10,-0.2661701582924083,27
2020-06-11,-0.2192063605678933,28
2020-06-12,-0.3918119577070077,30
2020-06-13,-0.1847690901098152,12
2020-06-14,-0.1305151673566018,14
2020-06-15,-0.1045803371326703,38
2020-06-16,-0.2011463200165466,22
2020-06-17,-0.2202462509158067,32
2020-06-18,-0.1956008297598196,36
2020-06-19,-0.2302078868227976,27
2020-06-20,-0.0880523245208538,13
2020-06-21,-0.1920843743360959,13
2020-06-22,-0.0348674872959101,54
2020-06-23,-0.3424904023413546,32
2020-06-24,-0.0669566180246571,36
2020-06-25,-0.1250957947534819,48
2020-06-26,-0.0089073405704564,18
2020-06-27,-0.017457006100033,14
2020-06-28,0.0332717449637129,16
2020-06-29,-0.1137633753630022,24
2020-06-30,-0.2853680434636771,8
2020-07-01,-0.19486099784824867,41
2020-07-02,-0.1976956437472227,67
2020-07-03,-0.15075690215948406,31
2020-07-04,0.013232028256444333,43
2020-07-05,-0.0755329178025325,17
2020-07-06,-0.2756336819490089,34
2020-07-07,-0.359015265543913,29
2020-07-08,-0.0806177651607676,38
2020-07-09,-0.1557662947103381,40
2020-07-10,-0.0612502174141506,24
2020-07-11,-0.1836887515549148,14
2020-07-12,-0.1232040534830755,18
2020-07-13,-0.1022661752067506,40
2020-07-14,-0.2168377622729167,32
2020-07-15,-0.1642590051121784,33
2020-07-16,-0.1913433812166515,38
2020-07-17,-0.2001407532471007,29
2020-07-18,-0.0882973060943186,24
2020-07-19,-0.0590256857685744,16
2020-07-20,-0.2149108076786122,41
2020-07-21,-0.2188627021066073,29
2020-07-22,-0.0597879071202543,27
2020-07-23,-0.2868947916208429,47
2020-07-24,-0.0181915247812867,36
2020-07-25,-0.0745876672118902,25
2020-07-26,-0.053681074895642,11
2020-07-27,-0.1112987413345014,34
2020-07-28,-0.1669282903312705,32
2020-07-29,-0.1704144366085529,32
2020-07-30,-0.2322218593742166,42
2020-07-31,0.0156157836318016,4
2020-08-01,-0.1170582510820693,34
2020-08-02,-0.25614635599037955,31
2020-08-03,-0.24132821528861922,51
2020-08-04,-0.15178456141211596,60
2020-08-05,-0.2147957118848959,41
2020-08-06,-0.1856736993082823,39
2020-08-07,-0.1612440348580116,41
2020-08-08,-0.1616444885730743,19
2020-08-09,0.021224884050233,14
2020-08-10,-0.3105165036716338,29
2020-08-11,-0.0923014354064232,36
2020-08-12,-0.1869331847035115,31
2020-08-13,-0.1974353123352759,36
2020-08-14,-0.2499366306583397,32
2020-08-15,-0.0671397228207853,18
2020-08-16,-0.1354556228034198,4
2020-08-17,-0.0832358172629028,48
2020-08-18,-0.2496836012988179,27
2020-08-19,-0.0527115738527341,22
2020-08-20,-0.0837138342903927,32
2020-08-21,-0.2171053676442666,33
2020-08-22,-0.229546201548406,14
2020-08-23,-0.0942240700953536,9
2020-08-24,-0.2689738602909658,28
2020-08-25,-0.1901062736504299,43
2020-08-26,-0.308060676146012,26
2020-08-27,-0.2572700997069478,50
2020-08-28,-0.3125274994506918,29
2020-08-29,-0.0276742030142082,18
2020-08-30,-0.0991352600976824,4
2020-09-01,-0.14669755105638785,53
2020-09-02,-0.08414510677314613,50
2020-09-03,-0.1251938448789028,62
2020-09-04,-0.19319314532383006,68
2020-09-05,0.05016144367263595,22
2020-09-06,-0.0961951782757585,11
2020-09-07,-0.1107856725156307,25
2020-09-08,-0.3792519732777561,35
2020-09-09,-0.3275302904192358,40
2020-09-10,-0.2344725137870562,38
2020-09-11,-0.115691702987533,32
2020-09-12,-0.1817948529496789,18
2020-09-13,-0.241026232285159,21
2020-09-14,0.0731200205702935,31
2020-09-15,-0.2439837780210279,31
2020-09-16,-0.0842378989738576,51
2020-09-17,-0.0917375775821068,51
2020-09-18,-0.1184290006963743,36
2020-09-19,-0.2907307301958402,15
2020-09-20,-0.1178578300168737,16
2020-09-21,-0.0696124626273239,37
2020-09-22,-0.1888898866871992,30
2020-09-23,-0.0294845742281786,43
2020-09-24,-0.0312441887164657,44
2020-09-25,-0.1727932384237647,34
2020-09-26,-0.2025393474508415,11
2020-09-27,-0.0500383004546165,16
2020-09-28,-0.3063184477921043,42
2020-09-29,-0.0996657397838369,31
2020-09-30,-0.1464963534048625,7
2020-10-01,-0.0483455180463477,49
2020-10-02,-0.02744031418671669,83
2020-10-03,-0.11097120218688533,65
2020-10-04,-0.07716103237018818,52
2020-10-05,0.41247912327803316,22
2020-10-06,0.1141607528804121,37
2020-10-07,-0.0852868528226795,46
2020-10-08,0.05039784704046,29
2020-10-09,-0.0173631688245596,39
2020-10-10,0.0629881549950527,23
2020-10-11,-0.0455302436436925,14
2020-10-12,0.0071912021799521,33
2020-10-13,0.0984285634809306,42
2020-10-14,0.0333260870388438,31
2020-10-15,-0.0715991831488079,45
2020-10-16,-0.164245499554893,29
2020-10-17,0.0166211353943628,17
2020-10-18,0.0868456244468689,15
2020-10-19,0.0511970060138866,29
2020-10-20,0.1088729277253151,36
2020-10-21,0.0721117292131696,35
2020-10-22,0.0834656724706292,40
2020-10-23,0.0322667353579567,36
2020-10-24,0.0202644639648497,28
2020-10-25,0.1381368413567543,14
2020-10-26,0.009689678509648,26
2020-10-27,-0.0159416766837239,32
2020-10-28,0.0301358401227523,34
2020-10-29,-0.0693891369982769,38
2020-10-30,-0.1529919565410206,38
2020-10-31,-0.2277798131108284,13
2020-11-01,-0.21777763588755736,37
2020-11-02,-0.10983763479402864,59
2020-11-03,0.0021327296107413,76
2020-11-04,-0.1800606912456227,77
2020-11-05,-0.0155638589523732,41
2020-11-06,-0.2043780120710532,30
2020-11-07,0.0456845032443341,38
2020-11-08,0.0207440555095672,13
2020-11-09,-0.0590507669063905,24
2020-11-10,-0.1199584684911228,21
2020-11-11,-0.1157908803947708,34
2020-11-12,-0.0778300772470079,38
2020-11-13,-0.111589079589716,28
2020-11-14,-0.1228774181670612,18
2020-11-15,-0.2008533446351066,16
2020-11-16,-0.0846987697694982,35
2020-11-17,-0.0622899898032589,41
2020-11-18,-0.1781875227968539,31
2020-11-19,-0.1311160907277773,29
2020-11-20,-0.1898018004291731,23
2020-11-21,-0.0639416744560003,25
2020-11-22,-0.032759298437408,21
2020-11-23,-0.1180780977500896,38
2020-11-24,-0.2222686834101166,35
2020-11-25,0.0013117494958418,27
2020-11-26,-0.21020671678707,48
2020-11-27,-0.2943743629114968,35
2020-11-28,-0.0999183024872433,11
2020-11-29,-0.1088948950637131,16
2020-12-01,-0.20779413468817354,35
2020-12-02,-0.12295623115081895,59
2020-12-03,-0.263017940132423,83
2020-12-04,-0.21438057658228057,54
2020-12-05,-0.27561092411020865,21
2020-12-06,-0.1556768391281366,20
2020-12-07,-0.0428819895605556,32
2020-12-08,-0.1585001999379268,28
2020-12-09,-0.0400231943465769,40
2020-12-10,-0.2035894708974021,35
2020-12-11,-0.1520015724106795,36
2020-12-12,-0.1349009465840127,27
2020-12-13,-0.3299700121528336,14
2020-12-14,-0.0614816170185804,30
2020-12-15,-0.2199001771419547,43
2020-12-16,-0.0604971032041837,34
2020-12-17,-0.1723200358450412,35
2020-12-18,-0.0692055892290138,41
2020-12-19,-0.1708876510771612,12
2020-12-20,-0.1340057324352009,14
2020-12-21,-0.0914298581192269,32
2020-12-22,-0.1196831584992733,33
2020-12-23,0.0011439940426498,32
2020-12-24,-0.0675741727650165,25
2020-12-25,-0.0545084364712238,11
2020-12-26,0.2938451826572418,5
2020-12-27,-0.0966708692056792,14
2020-12-28,-0.1579440747602628,13
2020-12-29,-0.2246432110667228,20
2020-12-30,-0.0267315447330474,20
2020-12-31,-0.120310107866923,3
